datetime,solarIrradiance,solarEnergy,uvIndex,cloudCover
00:00:00,0.0,0.0,0.0,0.0
01:00:00,0.0,0.0,0.0,0.0
02:00:00,0.0,0.0,0.0,0.0
03:00:00,0.0,0.0,0.0,0.0
04:00:00,0.0,0.0,0.0,2.5
05:00:00,0.0,0.0,0.0,2.5
06:00:00,0.0,0.0,0.0,4.6
07:00:00,32.0,0.1,0.0,4.6
08:00:00,241.0,0.9,2.0,8.3
09:00:00,446.0,1.6,4.0,8.3
10:00:00,636.0,2.3,6.0,8.3
11:00:00,795.0,2.9,8.0,4.6
12:00:00,904.0,3.3,9.0,4.6
13:00:00,956.0,3.4,10.0,4.6
14:00:00,953.0,3.4,10.0,4.6
15:00:00,921.0,3.3,9.0,4.6
16:00:00,162.0,0.6,2.0,19.4
17:00:00,610.0,2.2,6.0,29.8
18:00:00,125.0,0.5,1.0,4.6
19:00:00,51.0,0.2,1.0,4.6
20:00:00,19.0,0.1,0.0,4.6
21:00:00,0.0,0.0,0.0,4.6
22:00:00,0.0,0.0,0.0,8.3
23:00:00,0.0,0.0,0.0,8.3
