Time (24 Hrs),Cloud Cover (%),Solar Irradiance (W/m2),Solar Energy (MJ/m2),UV Index
00:00:00,0.0,0.0,0.0,0.0
01:00:00,0.0,0.0,0.0,0.0
02:00:00,0.0,0.0,0.0,0.0
03:00:00,0.0,0.0,0.0,0.0
04:00:00,0.0,0.0,0.0,0.0
05:00:00,0.0,0.0,0.0,0.0
06:00:00,0.0,0.0,0.0,0.0
07:00:00,0.0,0.0,0.0,0.0
08:00:00,0.0,26.0,0.1,0.0
09:00:00,0.0,239.0,0.9,2.0
10:00:00,0.0,557.0,2.0,6.0
11:00:00,1.7,726.0,2.6,7.0
12:00:00,1.7,842.0,3.0,8.0
13:00:00,1.7,904.0,3.3,9.0
14:00:00,1.7,888.0,3.2,9.0
15:00:00,2.5,810.0,2.9,8.0
16:00:00,2.5,671.0,2.4,7.0
17:00:00,2.5,480.0,1.7,5.0
18:00:00,2.5,271.0,1.0,3.0
19:00:00,2.5,23.0,0.1,0.0
20:00:00,2.5,0.0,0.0,0.0
21:00:00,0.0,0.0,0.0,0.0
22:00:00,3.4,0.0,0.0,0.0
23:00:00,89.9,0.0,0.0,0.0
